Algorithm,ComparedAlgorithm,p,stat,StatisticalDifference
KnapsackGA,KnapsackGA,1.0,450.0,False
KnapsackGA,KnapsackAlmostFullyParallel,0.0,900.0,True
KnapsackGA,KnapsackFullyParallel,0.0,900.0,True
KnapsackGA,KnapsackFullyParallelSplitPop,0.0,900.0,True
KnapsackGA,KnapsackGAPartiallyParallel,0.0,900.0,True
KnapsackAlmostFullyParallel,KnapsackGA,0.0,0.0,True
KnapsackAlmostFullyParallel,KnapsackAlmostFullyParallel,1.0,450.0,False
KnapsackAlmostFullyParallel,KnapsackFullyParallel,0.0,0.0,True
KnapsackAlmostFullyParallel,KnapsackFullyParallelSplitPop,4e-05,729.0,True
KnapsackAlmostFullyParallel,KnapsackGAPartiallyParallel,0.0,29.0,True
KnapsackFullyParallel,KnapsackGA,0.0,0.0,True
KnapsackFullyParallel,KnapsackAlmostFullyParallel,0.0,900.0,True
KnapsackFullyParallel,KnapsackFullyParallel,1.0,450.0,False
KnapsackFullyParallel,KnapsackFullyParallelSplitPop,0.0,900.0,True
KnapsackFullyParallel,KnapsackGAPartiallyParallel,0.0,900.0,True
KnapsackFullyParallelSplitPop,KnapsackGA,0.0,0.0,True
KnapsackFullyParallelSplitPop,KnapsackAlmostFullyParallel,4e-05,171.0,True
KnapsackFullyParallelSplitPop,KnapsackFullyParallel,0.0,0.0,True
KnapsackFullyParallelSplitPop,KnapsackFullyParallelSplitPop,1.0,450.0,False
KnapsackFullyParallelSplitPop,KnapsackGAPartiallyParallel,0.0,65.0,True
KnapsackGAPartiallyParallel,KnapsackGA,0.0,0.0,True
KnapsackGAPartiallyParallel,KnapsackAlmostFullyParallel,0.0,871.0,True
KnapsackGAPartiallyParallel,KnapsackFullyParallel,0.0,0.0,True
KnapsackGAPartiallyParallel,KnapsackFullyParallelSplitPop,0.0,835.0,True
KnapsackGAPartiallyParallel,KnapsackGAPartiallyParallel,1.0,450.0,False
